episode,timestamp,success_rate,episode_reward,intercept_success,intercept_fail,enemy_missiles,defense_missiles,territory_hits,avg_prediction_error,policy_loss,value_loss,epsilon,learning_rate
0,1769405953.7140281,0.0000,-231.64,0,3,10,0,0,0.00,0.000000,0.000000,0.3030,0.001000
1,1769406001.9523351,0.0000,-233.25,0,4,10,0,0,0.00,0.000000,0.000000,0.3060,0.001000
2,1769406050.0750797,0.0000,-77.67,0,2,10,0,0,0.00,0.000000,0.000000,0.3091,0.001000
3,1769406098.1364396,0.0000,-155.09,0,2,10,0,0,0.00,0.000000,0.000000,0.3122,0.001000
4,1769406146.1220896,0.0000,-229.40,0,4,10,0,0,0.00,0.000000,0.000000,0.3153,0.001000
5,1769406193.9384162,0.0000,-153.29,0,4,10,0,0,0.00,0.000000,0.000000,0.3185,0.001000
6,1769406244.937924,0.0000,-77.93,0,3,10,1,0,0.00,0.000000,0.000000,0.3216,0.001000
