episode,timestamp,success_rate,episode_reward,intercept_success,intercept_fail,enemy_missiles,defense_missiles,territory_hits,avg_prediction_error,policy_loss,value_loss,epsilon,learning_rate
49,1769415515.2806063,0.0000,-75.50,0,1,10,0,0,0.00,0.000000,0.000000,0.4934,0.001000
50,1769415574.9943218,0.0000,-76.46,0,3,10,1,0,0.00,0.000000,0.000000,0.4983,0.001000
51,1769415632.1683562,0.0000,-157.54,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
52,1769415689.0031686,0.0000,-231.69,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
53,1769415746.9115484,0.0000,-77.21,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
54,1769415805.1232827,0.0000,-151.89,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
55,1769415864.5542293,0.0000,-154.08,0,5,10,1,0,0.00,0.000000,0.000000,0.5000,0.001000
56,1769415922.8420727,0.0000,-230.82,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
57,1769415979.7087626,0.0000,-155.79,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
58,1769416037.2509258,0.0000,-154.50,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
59,1769416095.1060956,0.0000,-229.36,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
60,1769416153.090961,0.0000,-233.93,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
61,1769416210.3053217,0.0000,-543.91,0,7,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
62,1769416266.1894329,0.0000,-232.29,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
63,1769416321.743493,0.0000,-74.50,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
64,1769416376.3705213,0.0000,-152.32,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
65,1769416431.4063137,0.0000,-153.58,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
66,1769416486.2185469,0.0000,-234.53,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
67,1769416539.8765538,0.0000,-156.21,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
68,1769416593.4551306,0.0000,-155.17,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
69,1769416647.407544,0.0000,-233.23,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
70,1769416701.559823,0.0000,-156.25,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
71,1769416756.0201793,0.0000,-231.67,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
72,1769416813.06169,0.0000,-73.76,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
73,1769416869.7910738,0.0000,-228.82,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
74,1769416925.8803933,0.0000,-231.25,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
75,1769416980.6076634,0.0000,-230.06,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
76,1769417034.3816044,0.0000,-158.27,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
77,1769417093.1674232,0.0000,-231.05,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
78,1769417153.5926576,0.0000,-307.51,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
79,1769417212.8915,0.0000,-76.92,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
80,1769417269.71567,0.0000,-150.79,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
81,1769417330.5346265,0.0000,-154.88,0,3,10,1,0,0.00,0.000000,0.000000,0.5000,0.001000
82,1769417389.2053604,0.0000,-310.58,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
83,1769417449.3560538,0.0000,-233.92,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
84,1769417512.084856,0.0000,-308.12,0,5,10,1,0,0.00,0.000000,0.000000,0.5000,0.001000
85,1769417571.3385413,0.0000,-232.34,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
86,1769417623.217603,0.0000,-232.28,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
87,1769417675.1888535,0.0000,-312.69,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
88,1769417727.129494,0.0000,-156.98,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
89,1769417779.6698148,0.0000,-154.23,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
90,1769417832.2201126,0.0000,-155.75,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
91,1769417885.2647846,0.0000,-153.96,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
92,1769417938.4062164,0.0000,-387.81,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
93,1769417990.9151795,0.0000,-77.42,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
94,1769418043.0175052,0.0000,-157.11,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
95,1769418098.2638617,0.0000,-153.53,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
96,1769418151.57008,0.0000,-155.08,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
97,1769418204.078037,0.0000,-153.51,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
98,1769418256.7137876,0.0000,-152.47,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
99,1769418309.3121426,0.0000,-311.74,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
100,1769418362.1700907,0.0000,-232.97,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
101,1769418415.2880123,0.0000,-75.87,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
102,1769418467.676657,0.0000,-232.99,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
103,1769418520.3583012,0.0000,-229.86,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
104,1769418573.3961298,0.0000,-385.18,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
105,1769418633.9392085,0.0000,-229.72,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
106,1769418686.764825,0.0000,-154.28,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
107,1769418739.102149,0.0000,-155.58,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
108,1769418793.109376,0.0000,-154.75,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
109,1769418845.5135663,0.0000,-310.12,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
110,1769418897.6675982,0.0000,-155.43,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
111,1769418950.146069,0.0000,-77.06,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
112,1769419002.7021673,0.0000,-154.78,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
113,1769419062.445949,0.0000,-79.18,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
